path_id,cwnd_1,cwnd_2,in_flight_1,in_flight_2,rtt_1,rtt_2,avg_rtt_1,avg_rtt_2

3,46720.000000,46720.000000,76.000000,131.000000,144853,168396,1271000,820000

3,46720.000000,46720.000000,76.000000,131.000000,144853,168396,1271000,820000

1,46720.000000,46720.000000,0.000000,0.000000,168396,144853,820000,1271000

1,46720.000000,46720.000000,131.000000,76.000000,168396,144853,820000,1271000

1,46720.000000,46720.000000,131.000000,76.000000,168396,144853,820000,1271000

3,46720.000000,46720.000000,126.000000,131.000000,144853,168396,1271000,820000

1,46720.000000,46720.000000,181.000000,126.000000,168396,144853,820000,1271000

3,46720.000000,46720.000000,126.000000,181.000000,144853,168396,1271000,820000

3,46720.000000,46720.000000,126.000000,181.000000,144853,168396,1271000,820000

1,46720.000000,46720.000000,181.000000,126.000000,168396,144853,820000,1271000

1,46720.000000,46720.000000,0.000000,0.000000,369073,542786,763000,1179000

1,46720.000000,46720.000000,0.000000,0.000000,369073,542786,763000,1179000

3,46720.000000,46720.000000,0.000000,0.000000,542786,369073,1179000,763000

3,46720.000000,46720.000000,0.000000,0.000000,542786,369073,1179000,763000

1,46720.000000,46720.000000,0.000000,0.000000,369073,542786,763000,1179000

3,46720.000000,46720.000000,0.000000,0.000000,542786,369073,1179000,763000

1,46720.000000,46720.000000,0.000000,0.000000,369073,542786,763000,1179000

3,46720.000000,46720.000000,0.000000,0.000000,542786,369073,1179000,763000

3,46720.000000,46720.000000,0.000000,0.000000,542786,369073,1179000,763000

1,46720.000000,46720.000000,0.000000,0.000000,369073,542786,763000,1179000

1,46720.000000,46720.000000,0.000000,0.000000,369073,542786,763000,1179000

3,46720.000000,46720.000000,0.000000,0.000000,542786,369073,1179000,763000

1,46720.000000,46720.000000,0.000000,0.000000,369073,542786,763000,1179000

1,46720.000000,46720.000000,0.000000,0.000000,369073,542786,763000,1179000

3,46720.000000,46720.000000,0.000000,0.000000,542786,369073,1179000,763000

1,46720.000000,46720.000000,0.000000,0.000000,369073,542786,763000,1179000

3,46720.000000,46720.000000,0.000000,0.000000,542786,369073,1179000,763000

1,46720.000000,46720.000000,0.000000,0.000000,369073,542786,763000,1179000

1,46720.000000,46720.000000,0.000000,0.000000,369073,542786,763000,1179000

